Hive ID,City,State,Latitude,Longitude,Health
S017757,Phippsburg,Maine,43.820638,-69.8147684,N/A
S017756,Boston,Massachusetts,42.3602534,-71.0582912,N/A
S017752,New York,New York,40.7127281,-74.0060152,N/A
S011889,Tonasket,Washington,48.7050075,-119.4372001,N/A
S011878,Warner,New Hampshire,43.280705,-71.81694,N/A
S017759,Los Angeles,California,34.0536909,-118.2427666,N/A
S011869,Waccabuc,New York,41.300315,-73.5761584,Troubled
S011891,North Bend,Washington,47.4959464,-121.7851542,N/A
S017762,Los Angeles,California,34.0536909,-118.2427666,N/A
S017763,Los Angeles,California,34.0536909,-118.2427666,N/A
S017407,Merrimack,New Hampshire,43.3260376,-71.6854725,N/A
S017406,Merrimack,New Hampshire,43.3260376,-71.6854725,N/A
S017405,Merrimack,New Hampshire,43.3260376,-71.6854725,N/A
S017402,Merrimack,New Hampshire,43.3260376,-71.6854725,N/A
S017401,Merrimack,New Hampshire,43.3260376,-71.6854725,N/A
S017751,Chatsworth,California,34.2595715,-118.6023247,N/A
S017404,Boxford,Massachusetts,42.67774685,-71.00127464,N/A
S017403,Woburn,Massachusetts,42.4792618,-71.1522766,Good
S011897,Pittsburg,Pennsylvania,40.4416941,-79.9900861,N/A
S017410,Wayland,Massachusetts,42.3632063,-71.3606721,N/A
S011892,Verona,Pennsylvania,40.5064571,-79.843105,N/A
S017415,Wayland,Massachusetts,42.3632063,-71.3606721,N/A
S011884,Duxbury,Massachusetts,42.0417695,-70.672259,N/A
S011862,Duxbury,Massachusetts,42.0417695,-70.672259,N/A
S011893,Altadena,California,34.1863161,-118.1352329,N/A
S011845,Washington,District-of-Columbia,38.8948932,-77.0365529,N/A
S011846,Truro,Massachusetts,41.993437,-70.0497457,N/A
S011890,Westport,Connecticut,41.1414855,-73.3578955,N/A
S017417,Bethesda,Maryland,38.9819845,-77.12423413,N/A
S011885,Wayland,Massachusetts,42.3632063,-71.3606721,Good
S011886,Lincoln,Massachusetts,42.4259283,-71.3039469,N/A
S011899,Beverly,Massachusetts,42.5584284,-70.8800491,N/A
S011868,Russell,New York,44.429612,-75.150261,N/A
S011881,Lincoln,Massachusetts,42.4259283,-71.3039469,Good
S011880,Chestnut Hill,Massachusetts,42.3306529,-71.1661647,Good
S011888,Providence,Rhode Island,41.8239891,-71.4128343,N/A
S011882,Boston,Massachusetts,42.3602534,-71.0582912,N/A
S011874,Shrewsbury,Massachusetts,42.283828,-71.7172866,Troubled
S011861,New York,New York,40.7127281,-74.0060152,
S011850,New Canaan,Connecticut,41.1458207,-73.4963532,Good
S011849,New Canaan,Connecticut,41.1458207,-73.4963532,Good
S011852,Nashville,Tennessee,36.1622296,-86.7743531,N/A
S011851,Bristol,Rhode Island,41.7034082,-71.2844401,N/A
S011844,Medford,Massachusetts,42.4184296,-71.1061639,N/A
S011843,Morristown,New Jersey,40.7970384,-74.4809492,Good
S011842,Woodstock,Vermont,43.6244967,-72.518794,N/A
S011840,Davidson,Maryland,39.0125945,-76.460786,N/A
S011832,Cambridge,Massachusetts,42.3750997,-71.1056157,N/A
S011835,Jacksonville,Oregon,42.314411,-122.965346,N/A
S011833,Mattapoisett,Massachusetts,41.658438,-70.8161468,N/A
S011831,Sudbury,Massachusetts,42.3834278,-71.4161725,Good
S011808,Lincoln,Massachusetts,42.4259283,-71.3039469,Good
S011829,Sudbury,Massachusetts,42.3834278,-71.4161725,N/A
S005716,Canoga Park,California,34.2010776,-118.5978259,N/A
S011821,Acton,Massachusetts,42.4850931,-71.43284,N/A
